uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
PSEGGLOB 345 Q345 ST UN,1.0,385.0,385.0,385.0
RACCOO1 23 3 3 UN,0.0,384.0,384.0,384.0
RACCOO1 23 1 1 UN,0.0,384.0,384.0,384.0
RACCOO1 23 2 2 UN,0.0,384.0,384.0,384.0
RACCOO1 23 4 4 UN,0.0,384.0,384.0,384.0
COFFEEN 22 229 1 UN,0.0,380.0,380.0,380.0
MERAMEC 138 18 4 UN,1.0,375.0,375.0,375.0
CONESVIL 345 Q345 CV5 UN,204.0,375.0,375.0,375.0
CONESVIL 345 Q345 CV6 UN,204.0,375.0,375.0,375.0
MERAMEC 18 25 4 UN,0.0,375.0,375.0,375.0
LEC 24 5 27 UN,1.0,374.0,374.0,374.0
SHERCO 26 9910 SHERCO3_SMP UN,113.0,368.0,368.0,368.0
ZIMMER 345 Q345 ZM1_DPL UN,1.0,365.0,365.0,365.0
WILKES 138 GN02 2 UN,1.0,365.0,365.0,365.0
JOU_AEP 345 Q345 ZIMMER1_JOU UN,1.0,365.0,365.0,365.0
BOS_230 20.9 1 BOS_23_3_UNIT UN,160.0,362.0,362.0,362.0
SCHAHFER 345 Q345 P18 UN,1.0,361.0,361.0,361.0
SCHAHFER 345 Q345 P17 UN,1.0,361.0,361.0,361.0
EDWARDS2 138 10 3 UN,0.0,361.0,361.0,361.0
GENOA3 24 224 GENOA_3_UNIT UN,150.0,360.0,360.0,360.0
OTTUMWA 24 U1 OTTUMW_1_UNIT UN,100.0,360.0,360.0,360.0
HOLCOM1 22 17G 2 UN,1.0,360.0,360.0,360.0
WILKES 345 GN03 3 UN,1.0,360.0,360.0,360.0
GERMANTO 138 A13Z EQ_UN_A138 UN,-358.0,358.0,358.0,358.0
HITCH 345 196 GPWA UN,0.0,355.32,360.0,360.0
WAUKEGAN 138 B138 WA-8 UN,1.0,354.0,354.0,354.0
RANCHRD7 345 FR2 FRONTIER2 UN,0.0,351.8,351.8,351.8
SQBUTTEW 20 ASM2 Y2ACGEN_MPC UN,242.5,351.0,351.0,448.0
CSTN 18 3 3 UN,0.0,350.0,350.0,350.0
BARRY1 18 3 3 UN,1.0,350.0,350.0,350.0
CARVIL 230 BC GBC_MKT UN,0.0,350.0,350.0,350.0
YATES1 22 4 4 UN,1.0,350.0,350.0,350.0
CSTN 345 6 3 UN,1.0,350.0,350.0,350.0
BUCKNER2 345 Q345 BLUEGRASS1_2 UN,1.0,350.0,350.0,350.0
HARRSUB 24 23 2 UN,1.0,349.0,349.0,349.0
KNOXLEE 138 GN05 5 UN,1.0,348.0,348.0,348.0
HARRSUB 24 36 1 UN,1.0,342.0,342.0,342.0
HARRSUB 24 10 3 UN,1.0,341.0,344.0,344.0
NENGLDBT 34 9001 NENGL_UNIT1 UN,0.0,340.0,340.0,340.0
